entry,at,order
"""daniel @ -2udal4db3"" folds",2025-05-16T15:04:24.141Z,174740786414100
"""ymk @ u2PJYvu21j"" folds",2025-05-16T15:01:51.908Z,174740771190800
"The admin ""ymk @ u2PJYvu21j"" enqueued the game stop on next hand.",2025-05-16T15:01:47.251Z,174740770725100
"""Ejk @ i4HZ9hui3f"" posts a big blind of 600",2025-05-16T15:01:26.883Z,174740768688306
"""daniel @ -2udal4db3"" posts a small blind of 300",2025-05-16T15:01:26.883Z,174740768688305
"Your hand is 10♦, 2♥",2025-05-16T15:01:26.883Z,174740768688303
"Player stacks: #1 ""ymk @ u2PJYvu21j"" (37900) | #5 ""daniel @ -2udal4db3"" (82900) | #8 ""Ejk @ i4HZ9hui3f"" (19200)",2025-05-16T15:01:26.883Z,174740768688301
"-- starting hand #91 (id: clapnlu01iix)  (No Limit Texas Hold'em) (dealer: ""ymk @ u2PJYvu21j"") --",2025-05-16T15:01:26.883Z,174740768688300
"""ymk @ u2PJYvu21j"" shows a J♥, K♥.",2025-05-16T15:01:25.035Z,174740768503500
"-- ending hand #90 --",2025-05-16T15:01:23.270Z,174740768327002
"""ymk @ u2PJYvu21j"" collected 9000 from pot",2025-05-16T15:01:23.270Z,174740768327001
"Uncalled bet of 2400 returned to ""ymk @ u2PJYvu21j""",2025-05-16T15:01:23.270Z,174740768327000
"""Ejk @ i4HZ9hui3f"" folds",2025-05-16T15:01:22.461Z,174740768246100
"""ymk @ u2PJYvu21j"" bets 2400",2025-05-16T15:01:06.582Z,174740766658200
"Turn: 3♣, 10♣, 8♦ [J♦]",2025-05-16T15:01:02.967Z,174740766296700
"""Ejk @ i4HZ9hui3f"" calls 1800",2025-05-16T15:01:02.142Z,174740766214200
"""daniel @ -2udal4db3"" folds",2025-05-16T15:01:00.797Z,174740766079700
"""ymk @ u2PJYvu21j"" bets 1800",2025-05-16T15:00:59.493Z,174740765949300
"Flop:  [3♣, 10♣, 8♦]",2025-05-16T15:00:56.700Z,174740765670000
"""Ejk @ i4HZ9hui3f"" calls 1800",2025-05-16T15:00:55.873Z,174740765587300
"""daniel @ -2udal4db3"" calls 1800",2025-05-16T15:00:54.817Z,174740765481700
"""ymk @ u2PJYvu21j"" raises to 1800",2025-05-16T15:00:51.523Z,174740765152300
"""Ejk @ i4HZ9hui3f"" calls 600",2025-05-16T15:00:49.414Z,174740764941400
"""daniel @ -2udal4db3"" posts a big blind of 600",2025-05-16T15:00:47.528Z,174740764752806
"""ymk @ u2PJYvu21j"" posts a small blind of 300",2025-05-16T15:00:47.528Z,174740764752805
"Your hand is 6♠, 4♣",2025-05-16T15:00:47.528Z,174740764752803
"Player stacks: #1 ""ymk @ u2PJYvu21j"" (32500) | #5 ""daniel @ -2udal4db3"" (84700) | #8 ""Ejk @ i4HZ9hui3f"" (22800)",2025-05-16T15:00:47.528Z,174740764752801
"-- starting hand #90 (id: nnzdazgm54bq)  (No Limit Texas Hold'em) (dealer: ""Ejk @ i4HZ9hui3f"") --",2025-05-16T15:00:47.528Z,174740764752800
"""Ejk @ i4HZ9hui3f"" shows a 10♣, K♠.",2025-05-16T15:00:46.076Z,174740764607600
"""ymk @ u2PJYvu21j"" shows a K♣, 3♥.",2025-05-16T15:00:43.780Z,174740764378000
"-- ending hand #89 --",2025-05-16T15:00:43.216Z,174740764321602
"""Ejk @ i4HZ9hui3f"" collected 1200 from pot",2025-05-16T15:00:43.216Z,174740764321601
"Uncalled bet of 3600 returned to ""Ejk @ i4HZ9hui3f""",2025-05-16T15:00:43.216Z,174740764321600
"""ymk @ u2PJYvu21j"" folds",2025-05-16T15:00:42.409Z,174740764240900
"""Ejk @ i4HZ9hui3f"" bets 3600",2025-05-16T15:00:39.392Z,174740763939200
"River: J♦, 2♦, 6♦, 5♣ [2♣]",2025-05-16T15:00:37.087Z,174740763708700
"""ymk @ u2PJYvu21j"" checks",2025-05-16T15:00:36.276Z,174740763627600
"""Ejk @ i4HZ9hui3f"" checks",2025-05-16T15:00:35.222Z,174740763522200
"Turn: J♦, 2♦, 6♦ [5♣]",2025-05-16T15:00:34.087Z,174740763408700
"""ymk @ u2PJYvu21j"" checks",2025-05-16T15:00:33.253Z,174740763325300
"""Ejk @ i4HZ9hui3f"" checks",2025-05-16T15:00:31.373Z,174740763137300
"Flop:  [J♦, 2♦, 6♦]",2025-05-16T15:00:29.887Z,174740762988700
"""ymk @ u2PJYvu21j"" checks",2025-05-16T15:00:29.067Z,174740762906700
"""Ejk @ i4HZ9hui3f"" calls 600",2025-05-16T15:00:27.982Z,174740762798200
"""daniel @ -2udal4db3"" folds",2025-05-16T15:00:26.932Z,174740762693200
"""ymk @ u2PJYvu21j"" posts a big blind of 600",2025-05-16T15:00:24.409Z,174740762440906
"""Ejk @ i4HZ9hui3f"" posts a small blind of 300",2025-05-16T15:00:24.409Z,174740762440905
"Your hand is 4♦, 9♠",2025-05-16T15:00:24.409Z,174740762440903
"Player stacks: #1 ""ymk @ u2PJYvu21j"" (33100) | #5 ""daniel @ -2udal4db3"" (84700) | #8 ""Ejk @ i4HZ9hui3f"" (22200)",2025-05-16T15:00:24.409Z,174740762440901
"-- starting hand #89 (id: afrss8spkr3v)  (No Limit Texas Hold'em) (dealer: ""daniel @ -2udal4db3"") --",2025-05-16T15:00:24.409Z,174740762440900
"-- ending hand #88 --",2025-05-16T15:00:21.444Z,174740762144402
"""ymk @ u2PJYvu21j"" collected 5100 from pot",2025-05-16T15:00:21.444Z,174740762144401
"Uncalled bet of 1800 returned to ""ymk @ u2PJYvu21j""",2025-05-16T15:00:21.444Z,174740762144400
"""Ejk @ i4HZ9hui3f"" folds",2025-05-16T15:00:20.623Z,174740762062300
"""ymk @ u2PJYvu21j"" bets 1800",2025-05-16T15:00:12.774Z,174740761277400
"""Ejk @ i4HZ9hui3f"" checks",2025-05-16T15:00:09.299Z,174740760929900
"Flop:  [6♦, 3♥, A♠]",2025-05-16T15:00:07.705Z,174740760770500
"""Ejk @ i4HZ9hui3f"" calls 2400",2025-05-16T15:00:06.890Z,174740760689000
"""daniel @ -2udal4db3"" folds",2025-05-16T15:00:05.712Z,174740760571200
"""ymk @ u2PJYvu21j"" raises to 2400",2025-05-16T15:00:04.504Z,174740760450400
"""Ejk @ i4HZ9hui3f"" posts a big blind of 600",2025-05-16T15:00:00.429Z,174740760042906
"""daniel @ -2udal4db3"" posts a small blind of 300",2025-05-16T15:00:00.429Z,174740760042905
"Your hand is 9♠, 3♣",2025-05-16T15:00:00.429Z,174740760042903
"Player stacks: #1 ""ymk @ u2PJYvu21j"" (30400) | #5 ""daniel @ -2udal4db3"" (85000) | #8 ""Ejk @ i4HZ9hui3f"" (24600)",2025-05-16T15:00:00.429Z,174740760042901
"-- starting hand #88 (id: ajobozopzqxz)  (No Limit Texas Hold'em) (dealer: ""ymk @ u2PJYvu21j"") --",2025-05-16T15:00:00.429Z,174740760042900
